1,1,Ecologia politica,La ecologia sin politica es pura jardineria
1,2,Sincero,Solo esta vez voy a empezar a escuchar lo que siento y todo ira bien me lo prometo
2,3,Avanzar,Si me cai es porque estaba caminando y caminar vale la pena aunque te caigas
2,4,Natural,En un mundo de plastico y ruido quiero ser de barro y silencio
3,5,Somos,Al fin y al cabo somos lo que hacemos para cambiar lo que somos
4,6,Escuchar,Para no ser mudos hay que empezar por no ser sordos
4,7,Cantar,Cantamos porque el grito no es bastante y no es bastante el llanto ni la bronca
4,8,Utopia,La utopia esta en el horizonte nos invita a caminar
5,9,Vandana Shiva,El verdadero poder hoy es la valentina de decir NO
5,10,Resiliencia,Y me arme de fuerzas y cosi mis alas con la persistencia de las olas del Marzoratti
5,11,Origen,Soy de caminos de piedras de calles sin asfaltar mi abuela no fue a la escuela pero aprendio a luchar
6,12,Dualidad,Vive en mi todo lo bueno vive en mi todo lo malo vive en mi lo que no quiero y tambien lo que mas amo
7,13,Rene,Hijos del cañaveral nunca se nos cae la pava esta raza siempre es brava aunque sople el temporal
7,14,Mujer,Si te han crecido las ideas de ti van a decir cositas muy feas que no eres buena que cuando callas te ves mas hermosa
8,15,Volar,Pies para que los quiero si tengo alas para Volar
8,16,Libre,No sere libre mientras exista una mujer que no lo sea
9,17,Tentacion,La mayor tentacion del hombre es adoctrinar
9,18,Educar,La educacion no cambia el mundo pero cambia a las personas que van a cambiar el mundo
10,19,Libertad,La libertad que es una conquista y no una donacion exige una busqueda permanente
11,20,Enseñar,Enseñemos a nuestros hijos a pensar no a obedecer
12,21,Comandante,Para todos la luz para todos todo
12,22,Perdon,Disculpen las molestias esto es una revolucion
13,23,Migrar,Muchos no llegan se unden sus sueños papeles mojados papeles sin dueño
14,24,Mentira,Todo es mentira en este mundo todo es mentira la verdad porque sera
14,25,Presente,Quien puede dudar cuando mira a los ojos de un recien nacido que el pasado nunca existio
15,26,Uno,Y puedo ver la raiz sentirme tierra tambien
16,27,Argentina,Busquenme me encontraran en el pais de la Libertad
17,28,Revolucionario,Ser joven y no ser revolucionario es una contradiccion hasta biologica
18,29,Allende,Para que termine esta realidad brutal se requiere un profesional comprometido con el cambio social
19,30,Fidel,Sustituyase el hambre y no el hombre
20,31,Che Guevara,¿Acaso las Naciones Unidas no haran nada?